"飯店縣市","入住日期","退房日期","訂房日期","訂房數量","交易金額","歲數","性別","所在地址","IsForeigner"
"花蓮縣",2014/10/31,2014/11/01,"2014/10/20 下午 08:28:20",1,2880,42,"男","台中市","本國"
"臺東縣",2014/11/01,2014/11/02,"2014/10/20 下午 08:34:20",1,4480,42,"男","台中市","本國"
"花蓮縣",2014/11/05,2014/11/06,"2014/10/20 下午 08:56:20",1,2880,40,"男","桃園縣","本國"
"台南市",2014/12/13,2014/12/14,"2014/10/20 下午 11:49:20",1,6099,39,"男","桃園縣","本國"
"台南市",2014/12/13,2014/12/14,"2014/10/20 下午 11:54:20",1,4000,39,"男","南投縣","本國"
"台南市",2014/11/15,2014/11/16,"2014/10/20 下午 12:36:20",3,18900,36,"男","新北市","本國"
"台南市",2015/01/01,2015/01/02,"2014/10/21 上午 10:29:21",1,6000,43,"女","台中市","本國"
"台南市",2015/01/02,2015/01/03,"2014/10/21 下午 02:13:21",1,6000,48,"女","新北市","本國"
"台南市",2014/12/31,2015/01/01,"2014/10/21 下午 08:26:21",1,2499,34,"女","新北市","本國"
"台南市",2015/01/01,2015/01/02,"2014/10/21 下午 12:46:21",1,6000,36,"男","新竹市","本國"
"花蓮縣",2014/11/05,2014/11/06,"2014/10/22 上午 09:16:53",1,2880,54,"女","台南市","本國"
"台南市",2014/11/03,2014/11/04,"2014/10/22 上午 10:33:22",1,2800,57,"男","新北市","本國"
"台南市",2014/11/21,2014/11/22,"2014/10/22 上午 11:01:22",2,4998,41,"男","新北市","本國"
"台南市",2015/01/01,2015/01/03,"2014/10/22 上午 11:48:22",1,8700,45,"男","台北市","本國"
"台南市",2014/11/03,2014/11/04,"2014/10/22 上午 12:36:22",1,3200,33,"女","高雄市","本國"
"台南市",2014/10/23,2014/10/24,"2014/10/22 上午 12:36:22",1,3500,35,"男","新竹市","本國"
"台南市",2014/10/28,2014/10/29,"2014/10/22 下午 04:40:22",1,2600,59,"男","台北市","本國"
"台南市",2014/10/26,2014/10/28,"2014/10/22 下午 05:52:22",1,5200,47,"女","新北市","本國"
"台南市",2014/11/01,2014/11/02,"2014/10/22 下午 06:15:22",1,6300,41,"女","花蓮縣","本國"
"台北市",2014/10/30,2014/10/31,"2014/10/22 下午 09:54:22",2,6200,38,"男","高雄市","本國"
"台南市",2014/12/19,2014/12/20,"2014/10/22 下午 11:51:22",2,7560,34,"男","台北市","本國"
"台南市",2014/12/19,2014/12/20,"2014/10/22 下午 11:54:22",1,2800,34,"女","新北市","本國"
"台南市",2014/10/31,2014/11/01,"2014/10/23 上午 10:30:23",1,3500,30,"女","高雄市","本國"
"花蓮縣",2014/11/28,2014/11/29,"2014/10/23 下午 01:09:23",1,2880,38,"女","高雄市","本國"
"台南市",2015/01/01,2015/01/02,"2014/10/23 下午 03:10:23",2,8700,45,"男","新北市","本國"
"花蓮縣",2014/11/04,2014/11/05,"2014/10/23 下午 08:47:23",2,5760,38,"女","新北市","本國"
"花蓮縣",2014/12/28,2014/12/30,"2014/10/23 下午 09:30:23",2,11520,33,"男","台北市","本國"
"台南市",2014/12/12,2014/12/13,"2014/10/23 下午 11:36:23",1,2800,48,"女","宜蘭縣","本國"
"台南市",2014/11/07,2014/11/08,"2014/10/23 下午 12:21:23",1,3500,53,"男","台中市","本國"
"台南市",2014/11/21,2014/11/22,"2014/10/24 下午 02:26:24",1,5800,48,"男","台中市","本國"
"台南市",2014/12/19,2014/12/20,"2014/10/24 下午 02:30:24",1,7700,60,"女","彰化縣","本國"
"臺東縣",2014/10/29,2014/10/30,"2014/10/24 下午 04:50:24",1,1998,45,"女","台北市","本國"
"台南市",2014/11/02,2014/11/03,"2014/10/25 下午 05:19:42",1,7700,33,"女","宜蘭縣","本國"
"台南市",2014/10/26,2014/10/27,"2014/10/25 下午 05:20:57",1,5599,48,"女","高雄市","本國"
"台南市",2014/11/07,2014/11/08,"2014/10/25 下午 05:24:01",1,3700,33,"女","新北市","本國"
"台南市",2014/11/07,2014/11/08,"2014/10/25 下午 05:24:41",1,2600,33,"女","台南市","本國"
"台南市",2014/10/31,2014/11/01,"2014/10/25 下午 09:57:25",1,2600,41,"男","台北市","本國"
"花蓮縣",2014/11/11,2014/11/12,"2014/10/25 下午 12:16:25",1,2880,38,"男","桃園縣","本國"
"台南市",2014/10/27,2014/10/28,"2014/10/26 上午 09:27:42",2,4998,45,"女","新北市","本國"
"台南市",2014/12/17,2014/12/18,"2014/10/26 上午 11:14:26",1,2499,51,"男","新北市","本國"
"台南市",2014/10/31,2014/11/01,"2014/10/26 上午 11:46:47",1,3700,58,"女","桃園縣","本國"
"台南市",2014/11/29,2014/11/30,"2014/10/26 下午 05:56:26",1,4000,33,"女","宜蘭縣","本國"
"台南市",2014/10/30,2014/10/31,"2014/10/26 下午 07:39:17",1,3780,25,"女","新竹縣","本國"
"花蓮縣",2014/11/03,2014/11/04,"2014/10/26 下午 12:01:26",1,2880,67,"男","台中市","本國"
