City,Checkin Date,Checkout Date,Booked Time,Quantity,Amount,Age,Gender,Hometown,isForeigner
west,2014-10-27,2014-10-28,2014-10-26 09:27:42,2,4998,45,female,high,no
west,2014-12-17,2014-12-18,2014-10-26 11:14:26,1,2499,51,male,high,no
west,2014-10-31,2014-11-01,2014-10-26 11:46:47,1,3700,58,female,highest,no
west,2014-11-29,2014-11-30,2014-10-26 17:56:26,1,4000,33,female,high,no
west,2014-10-30,2014-10-31,2014-10-26 19:39:17,1,3780,25,female,highest,no
east,2014-11-03,2014-11-04,2014-10-26 12:01:26,1,2880,67,male,high,no
west,2014-11-28,2014-11-29,2014-10-27 09:07:27,1,3990,39,female,highest,no
west,2014-12-12,2014-12-13,2014-10-27 10:57:27,1,2499,40,male,highest,no
west,2014-11-24,2014-11-25,2014-10-27 14:27:27,1,2499,35,female,foreign,yes
city,2014-10-30,2014-10-31,2014-10-27 15:32:27,1,3100,44,male,highest,no
east,2014-11-06,2014-11-07,2014-10-27 16:45:27,1,2880,43,female,high,no
east,2014-12-26,2014-12-27,2014-10-27 20:00:27,1,2880,52,female,high,no
east,2014-11-10,2014-11-11,2014-10-27 12:07:27,1,2880,41,female,highest,no
west,2014-11-09,2014-11-10,2014-10-28 10:57:59,1,3300,46,female,foreign,yes
west,2014-11-06,2014-11-07,2014-10-28 11:21:16,1,2800,61,male,highest,no
west,2014-12-31,2015-01-01,2014-10-28 00:26:28,1,4000,29,female,high,no
east,2014-11-06,2014-11-07,2014-10-28 17:10:28,1,2880,47,female,highest,no
east,2014-11-29,2014-12-01,2014-10-28 17:54:28,1,6720,39,female,highest,no
west,2014-11-14,2014-11-15,2014-10-28 21:05:28,2,8598,32,female,highest,no
west,2014-11-11,2014-11-13,2014-10-28 22:02:28,1,4998,37,female,highest,no
west,2014-11-07,2014-11-08,2014-10-28 22:09:34,2,12320,45,female,highest,no
east,2014-11-14,2014-11-15,2014-10-28 22:58:28,1,2880,35,male,low,no
west,2014-11-19,2014-11-20,2014-10-29 10:22:29,1,4480,54,female,low,no
west,2015-01-03,2015-01-04,2014-10-29 16:08:29,1,5310,35,female,lowest,no
west,2015-01-03,2015-01-04,2014-10-29 22:24:29,1,5310,44,female,highest,no
east,2014-12-24,2014-12-25,2014-10-29 23:31:29,1,2880,52,male,highest,no
east,2014-10-24,2014-10-25,2014-10-03 09:39:03,1,1800,53,female,highest,no
west,2014-12-26,2014-12-27,2014-10-03 16:15:03,2,4998,35,male,highest,no
east,2014-10-19,2014-10-20,2014-10-03 17:12:03,1,2880,44,female,high,no
west,2014-10-05,2014-10-06,2014-10-03 23:19:03,1,3099,49,female,high,no
west,2014-12-07,2014-12-08,2014-10-30 10:43:30,1,3500,55,female,high,no
west,2014-12-07,2014-12-08,2014-10-30 10:45:30,1,3990,55,male,highest,no
east,2014-11-21,2014-11-22,2014-10-30 10:52:30,1,2880,41,male,high,no
west,2014-11-28,2014-11-29,2014-10-30 11:22:30,1,2499,41,male,foreign,yes
west,2014-11-16,2014-11-17,2014-10-30 11:29:30,1,2499,62,female,highest,no
west,2014-11-12,2014-11-13,2014-10-30 15:31:30,1,3500,41,male,high,no
city,2015-01-03,2015-01-06,2014-10-31 09:23:31,1,9500,72,female,highest,no
west,2014-12-11,2014-12-12,2014-10-31 10:42:31,1,3500,35,female,highest,no
west,2014-10-06,2014-10-08,2014-10-04 10:31:04,1,5200,32,female,foreign,yes
city,2014-10-06,2014-10-07,2014-10-04 13:25:04,1,3100,55,male,high,no
west,2014-10-13,2014-10-14,2014-10-04 15:31:04,1,3780,62,female,low,no
west,2014-11-13,2014-11-14,2014-10-04 17:30:04,2,7980,58,male,high,no
west,2014-10-30,2014-10-31,2014-10-04 20:26:04,1,3780,44,female,high,no
west,2014-11-16,2014-11-17,2014-10-04 22:56:04,1,2499,42,female,high,no
east,2014-11-21,2014-11-22,2014-10-04 23:14:04,1,2880,36,male,high,no
west,2014-12-14,2014-12-15,2014-10-04 12:58:04,1,5900,47,female,high,no
west,2014-10-06,2014-10-07,2014-10-05 05:38:05,1,4299,45,male,highest,no
east,2014-11-27,2014-11-28,2014-10-05 14:52:05,1,2880,44,female,low,no
west,2014-12-02,2014-12-03,2014-10-05 15:33:05,1,3500,77,female,lowest,no
west,2014-10-17,2014-10-18,2014-10-05 20:49:05,1,2499,37,male,foreign,yes
west,2014-10-21,2014-10-23,2014-10-06 09:06:06,1,7000,50,female,others,no
west,2014-10-24,2014-10-25,2014-10-06 19:50:06,1,3500,33,male,foreign,yes
west,2014-10-09,2014-10-10,2014-10-06 21:50:23,1,2499,35,male,high,no
west,2014-10-20,2014-10-21,2014-10-07 07:49:07,1,3200,38,female,highest,no
west,2014-10-12,2014-10-13,2014-10-07 09:00:13,1,6160,36,male,highest,no
east,2014-11-16,2014-11-17,2014-10-07 14:30:07,1,2880,38,male,highest,no
west,2014-12-12,2014-12-13,2014-10-07 17:13:49,1,2600,35,female,high,no
east,2014-11-03,2014-11-04,2014-10-08 09:05:08,1,2880,67,male,highest,no
east,2014-11-18,2014-11-19,2014-10-08 15:13:26,1,2880,35,male,high,no
city,2014-10-15,2014-10-16,2014-10-08 23:07:08,1,3100,34,male,high,no
east,2014-11-07,2014-11-08,2014-10-08 12:06:08,2,5760,61,male,high,no
west,2014-10-24,2014-10-25,2014-10-09 09:04:09,1,3780,39,male,highest,no
west,2014-10-30,2014-10-31,2014-10-09 10:03:09,1,2499,48,female,low,no
city,2014-11-23,2014-11-25,2014-10-09 11:24:09,1,6200,55,male,high,no
west,2014-10-27,2014-10-29,2014-10-09 17:36:09,1,7000,42,male,high,no
west,2014-10-17,2014-10-18,2014-10-09 23:06:09,1,3500,41,male,highest,no
east,2014-11-16,2014-11-17,2014-11-01 08:30:04,1,2880,54,male,highest,no
